2023-01-12 19:31:25.073 | INFO     | src.session:__init__:36 - Auth completed (+380508091700)
2023-01-12 19:31:25.075 | WARNING  | __main__:do_job:10 - Session loaded!
2023-01-12 19:31:25.814 | SUCCESS  | src.session:comment_posts:76 - {'comment_id': 29119, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:31:29.190 | SUCCESS  | src.session:comment_posts:76 - {'comment_id': 29120, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:31:32.602 | SUCCESS  | src.session:comment_posts:76 - {'comment_id': 29121, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:31:35.991 | SUCCESS  | src.session:comment_posts:76 - {'comment_id': 29122, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:31:39.368 | SUCCESS  | src.session:comment_posts:76 - {'comment_id': 29123, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:31:42.766 | SUCCESS  | src.session:comment_posts:76 - {'comment_id': 29124, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:31:46.174 | SUCCESS  | src.session:comment_posts:76 - {'comment_id': 29125, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:31:49.565 | SUCCESS  | src.session:comment_posts:76 - {'comment_id': 29126, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:31:52.964 | SUCCESS  | src.session:comment_posts:76 - {'comment_id': 29127, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
2023-01-12 19:31:56.338 | SUCCESS  | src.session:comment_posts:76 - {'comment_id': 29128, 'parents_stack': []} | wall-3463783_28850 | Account: +380508091700
